text,label
schedule the light as soon as possible,2
power down the speaker,1
associate the washing machine immediately,3
switch off the robot vacuum,1
disable the washing machine at your earliest convenience,1
could you turn off the electric kettle,1
please turn on the robot vacuum now,0
turn off the electric kettle at your earliest convenience,1
could you turn on the robot vacuum as soon as possible,0
set up a timer for the electric kettle now,2
pair the speaker kindly,3
initiate a timer for the heater at your earliest convenience,2
activate the heater at your earliest convenience,0
could you turn on the electric kettle as soon as possible,0
could you turn off the fan now,1
start a timer for the coffee maker at your earliest convenience,2
associate the television immediately,3
I'd like to deactivate the washing machine right away,1
deactivate the fan at your earliest convenience,1
start the air conditioner at your earliest convenience,0
I'd like to schedule the pump now,2
associate the coffee maker immediately,3
I'd like to deactivate the refrigerator now,1
I'd like to deactivate the television right away,1
power down the air conditioner as soon as possible,1
start a timer for the light right away,2
configure the refrigerator as soon as possible,3
map the electric kettle now,3
power up the microwave,0
could you turn on the television at your earliest convenience,0
configure the air conditioner,3
initiate the refrigerator as soon as possible,0
stop the television kindly,1
schedule the oven kindly,2
please turn off the light right away,1
configure the timer for the television as soon as possible,2
could you turn off the heater now,1
could you turn on the refrigerator kindly,0
schedule the electric kettle immediately,2
connect the refrigerator immediately,3
assign the air conditioner now,3
please set a timer for the light at your earliest convenience,2
assign the heater kindly,3
initiate a timer for the fan at your earliest convenience,2
associate the pump kindly,3
set a timer for the air conditioner right away,2
stop the television at your earliest convenience,1
configure the television at your earliest convenience,3
I'd like to schedule the coffee maker,2
initiate the light as soon as possible,0
configure the oven kindly,3
please turn on the light right away,0
turn off the coffee maker at your earliest convenience,1
activate the fan as soon as possible,0
please set a timer for the fan immediately,2
schedule the oven,2
please map the heater right away,3
initiate the electric kettle immediately,0
initiate the washing machine right away,0
switch on the microwave now,0
associate the speaker,3
set a timer for the speaker as soon as possible,2
map the heater,3
configure the timer for the television immediately,2
map the television,3
please map the air conditioner right away,3
connect the light right away,3
start the fan,0
I'd like to deactivate the pump,1
begin a timer for the robot vacuum as soon as possible,2
initiate a timer for the robot vacuum now,2
enable the robot vacuum now,0
start the television as soon as possible,0
I'd like to schedule the refrigerator immediately,2
could you connect the microwave,3
power up the light immediately,0
associate the humidifier immediately,3
stop the heater right away,1
start a timer for the heater as soon as possible,2
start the pump at your earliest convenience,0
begin a timer for the speaker now,2
power down the humidifier kindly,1
connect the light immediately,3
turn on the microwave kindly,0
switch on the coffee maker right away,0
activate the robot vacuum kindly,0
could you set a timer for the washing machine as soon as possible,2
could you turn on the humidifier immediately,0
switch on the air conditioner,0
assign the speaker as soon as possible,3
schedule the robot vacuum kindly,2
start a timer for the robot vacuum now,2
turn on the fan right away,0
please turn on the refrigerator now,0
stop the heater as soon as possible,1
could you set a timer for the humidifier as soon as possible,2
please set a timer for the air conditioner immediately,2
turn on the oven now,0
start the fan at your earliest convenience,0
turn on the microwave immediately,0
map the pump as soon as possible,3
connect the speaker immediately,3
could you turn off the television immediately,1
link the pump right away,3
pair the humidifier as soon as possible,3
could you set a timer for the coffee maker immediately,2
deactivate the fan kindly,1
deactivate the electric kettle,1
I'd like to schedule the humidifier,2
power up the washing machine immediately,0
please turn on the heater now,0
switch on the light immediately,0
turn on the light now,0
assign the television as soon as possible,3
schedule the air conditioner as soon as possible,2
assign the air conditioner as soon as possible,3
please set a timer for the microwave immediately,2
switch on the robot vacuum right away,0
set up a timer for the pump as soon as possible,2
I'd like to deactivate the air conditioner right away,1
configure the light as soon as possible,3
power up the speaker now,0
begin a timer for the fan,2
power down the fan now,1
please turn off the robot vacuum as soon as possible,1
I'd like to schedule the oven at your earliest convenience,2
please set a timer for the television,2
I'd like to deactivate the microwave,1
switch off the robot vacuum right away,1
could you turn off the electric kettle now,1
disable the fan,1
set a timer for the air conditioner right away,2
power up the coffee maker as soon as possible,0
assign the television immediately,3
link the pump right away,3
set up a timer for the fan as soon as possible,2
start the television kindly,0
turn on the light as soon as possible,0
turn off the speaker,1
schedule the heater,2
assign the speaker at your earliest convenience,3
begin a timer for the heater kindly,2
I'd like to activate the electric kettle immediately,0
I'd like to activate the microwave at your earliest convenience,0
I'd like to schedule the heater,2
stop the air conditioner now,1
turn on the coffee maker as soon as possible,0
set a timer for the electric kettle right away,2
pair the electric kettle immediately,3
could you turn on the heater at your earliest convenience,0
enable the television at your earliest convenience,0
deactivate the coffee maker now,1
please map the air conditioner now,3
shut down the speaker now,1
I'd like to link the oven right away,3
power down the television now,1
initiate a timer for the television immediately,2
turn on the speaker now,0
could you connect the pump now,3
could you turn off the television now,1
could you turn on the humidifier right away,0
start the fan right away,0
set up a timer for the light kindly,2
I'd like to schedule the light immediately,2
start a timer for the oven as soon as possible,2
please turn on the coffee maker at your earliest convenience,0
stop the robot vacuum now,1
disable the television kindly,1
set a timer for the microwave,2
configure the air conditioner now,3
please turn off the television kindly,1
activate the robot vacuum now,0
activate the oven right away,0
please turn on the speaker right away,0
deactivate the washing machine,1
schedule the microwave now,2
link the heater as soon as possible,3
start a timer for the speaker at your earliest convenience,2
associate the microwave kindly,3
I'd like to activate the oven,0
link the oven at your earliest convenience,3
stop the pump as soon as possible,1
disable the electric kettle kindly,1
please set a timer for the microwave at your earliest convenience,2
disable the humidifier right away,1
start the pump at your earliest convenience,0
start a timer for the coffee maker kindly,2
please map the electric kettle at your earliest convenience,3
power down the microwave immediately,1
disable the humidifier right away,1
disable the light right away,1
power down the humidifier immediately,1
switch off the electric kettle now,1
stop the heater kindly,1
schedule the fan kindly,2
turn on the air conditioner at your earliest convenience,0
configure the timer for the humidifier kindly,2
could you connect the washing machine immediately,3
please map the coffee maker kindly,3
please turn on the oven,0
stop the refrigerator right away,1
could you turn off the humidifier at your earliest convenience,1
I'd like to activate the television at your earliest convenience,0
shut down the television,1
switch off the coffee maker now,1
start the television immediately,0
I'd like to activate the humidifier immediately,0
deactivate the coffee maker as soon as possible,1
associate the speaker now,3
configure the humidifier immediately,3
could you turn on the microwave immediately,0
shut down the washing machine as soon as possible,1
stop the electric kettle at your earliest convenience,1
stop the heater,1
turn off the humidifier right away,1
please set a timer for the television immediately,2
initiate the robot vacuum,0
schedule the heater as soon as possible,2
enable the pump,0
set up a timer for the humidifier kindly,2
disable the heater,1
assign the refrigerator right away,3
turn on the robot vacuum kindly,0
map the pump right away,3
map the coffee maker as soon as possible,3
pair the pump at your earliest convenience,3
switch on the refrigerator now,0
please turn off the washing machine now,1
enable the humidifier at your earliest convenience,0
initiate the humidifier,0
please set a timer for the humidifier,2
set up a timer for the air conditioner now,2
turn off the speaker as soon as possible,1
connect the refrigerator right away,3
connect the speaker kindly,3
begin a timer for the coffee maker immediately,2
stop the washing machine immediately,1
I'd like to schedule the oven,2
disable the air conditioner at your earliest convenience,1
please set a timer for the light right away,2
power up the electric kettle immediately,0
turn off the microwave now,1
I'd like to deactivate the humidifier right away,1
switch off the oven now,1
configure the timer for the electric kettle immediately,2
set a timer for the refrigerator,2
start the pump immediately,0
please turn on the robot vacuum right away,0
link the refrigerator at your earliest convenience,3
please map the humidifier right away,3
power up the oven right away,0
enable the air conditioner kindly,0
please map the light kindly,3
please turn on the oven immediately,0
I'd like to activate the electric kettle at your earliest convenience,0
could you connect the air conditioner at your earliest convenience,3
could you set a timer for the electric kettle,2
could you turn off the oven kindly,1
turn on the robot vacuum immediately,0
I'd like to deactivate the speaker immediately,1
configure the washing machine,3
I'd like to activate the fan as soon as possible,0
enable the humidifier right away,0
associate the microwave now,3
switch on the humidifier as soon as possible,0
power up the fan right away,0
please turn off the fan right away,1
could you connect the coffee maker as soon as possible,3
start the electric kettle as soon as possible,0
switch on the refrigerator right away,0
