text,label
deactivate the speaker,10
deactivate the electric kettle,13
switch off the humidifier,12
set a timer for the heater,2
connect the robot vacuum,11
deactivate the fan,0
switch off the oven,5
turn off the microwave,9
adjust the heater,2
turn on the speaker,10
set the washing machine,6
turn on the electric kettle,13
configure the coffee maker,8
adjust the microwave,9
turn off the television,4
switch on the speaker,10
turn on the coffee maker,8
adjust the electric kettle,13
connect the washing machine,6
adjust the television,4
map the refrigerator,7
set a timer for the heater,2
adjust the electric kettle,13
turn on the robot vacuum,11
change the television,4
activate the oven,5
adjust the humidifier,12
deactivate the heater,2
turn off the pump,14
change the robot vacuum,11
switch off the electric kettle,13
switch on the electric kettle,13
change the television,4
link the speaker,10
turn off the pump,14
switch on the refrigerator,7
turn on the oven,5
change the refrigerator,7
connect the speaker,10
change the washing machine,6
change the washing machine,6
switch off the washing machine,6
switch on the washing machine,6
schedule the electric kettle,13
turn off the oven,5
map the fan,0
adjust the coffee maker,8
switch off the heater,2
adjust the heater,2
set the humidifier,12
link the oven,5
assign the robot vacuum,11
change the pump,14
turn on the robot vacuum,11
connect the air conditioner,3
configure the air conditioner,3
connect the microwave,9
set a timer for the heater,2
turn off the speaker,10
activate the electric kettle,13
assign the washing machine,6
deactivate the humidifier,12
activate the robot vacuum,11
map the oven,5
deactivate the washing machine,6
link the fan,0
configure the heater,2
activate the oven,5
schedule the fan,0
schedule the humidifier,12
deactivate the pump,14
map the television,4
adjust the microwave,9
schedule the refrigerator,7
set the heater,2
map the washing machine,6
switch on the heater,2
link the pump,14
switch on the television,4
deactivate the heater,2
switch off the electric kettle,13
configure the electric kettle,13
turn off the heater,2
change the light,1
configure the microwave,9
assign the humidifier,12
map the microwave,9
switch on the robot vacuum,11
schedule the heater,2
set the fan,0
map the light,1
schedule the humidifier,12
connect the fan,0
switch off the television,4
connect the humidifier,12
switch off the electric kettle,13
switch off the electric kettle,13
adjust the refrigerator,7
map the coffee maker,8
map the washing machine,6
schedule the heater,2
turn off the washing machine,6
schedule the refrigerator,7
change the microwave,9
set the light,1
turn off the electric kettle,13
turn off the pump,14
link the oven,5
connect the television,4
turn off the light,1
map the heater,2
assign the air conditioner,3
schedule the robot vacuum,11
